Original_Row_Index,Inorganic phosphor,Host,1st dopant,Reference,MP-ID,ICSD-ID,CV_Fold,Emission max. (nm)
0,Ba2Bi0.95V3O11Eu0.05,Ba2Bi0.95V3O11,Eu,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,7,619.0
1,Ba2Bi0.8V3O11Eu0.2,Ba2Bi0.8V3O11,Eu,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,10,619.0
2,Ba2Bi0.6V3O11Eu0.4,Ba2Bi0.6V3O11,Eu,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,4,619.0
3,Ba2Bi0.4V3O11Eu0.6,Ba2Bi0.4V3O11,Eu,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,6,619.0
4,Ba2Bi0.2V3O11Eu0.8,Ba2Bi0.2V3O11,Eu,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,9,619.0
5,Ba2V3O11Eu1,Ba2V3O11,Eu,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,6,619.0
6,CaLa0.98B7O13Eu0.02,CaLa0.98B7O13,Eu,https://doi.org/10.1016/j.ijleo.2017.10.161,,,5,613.0
7,CaLa0.92B7O13Eu0.08,CaLa0.92B7O13,Eu,https://doi.org/10.1016/j.ijleo.2017.10.161,,,7,613.0
8,CaLa0.85B7O13Eu0.15,CaLa0.85B7O13,Eu,https://doi.org/10.1016/j.ijleo.2017.10.161,,,3,613.0
9,CaLa0.65B7O13Eu0.35,CaLa0.65B7O13,Eu,https://doi.org/10.1016/j.ijleo.2017.10.161,,,7,613.0
10,CaLa0.55B7O13Eu0.45,CaLa0.55B7O13,Eu,https://doi.org/10.1016/j.ijleo.2017.10.161,,,6,613.0
11,CaLa0.45B7O13Eu0.55,CaLa0.45B7O13,Eu,https://doi.org/10.1016/j.ijleo.2017.10.161,,,8,613.0
12,Sr8ZnScP7O28Tb0.02,Sr8ZnScP7O28,Tb,https://doi.org/10.1039/C8TC03515F,,,6,546.0
13,Sr8ZnScP7O28Tb0.06,Sr8ZnScP7O28,Tb,https://doi.org/10.1039/C8TC03515F,,,3,546.0
14,Sr8ZnScP7O28Tb0.1,Sr8ZnScP7O28,Tb,https://doi.org/10.1039/C8TC03515F,,,6,546.0
15,Sr8ZnScP7O28Tb0.12,Sr8ZnScP7O28,Tb,https://doi.org/10.1039/C8TC03515F,,,4,546.0
16,Sr8ZnScP7O28Tb0.14,Sr8ZnScP7O28,Tb,https://doi.org/10.1039/C8TC03515F,,,9,546.0
17,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,5,453.0
18,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,2,453.0
19,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,9,453.0
20,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,3,453.0
21,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,10,453.0
22,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,9,453.0
23,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,3,453.0
24,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,6,453.0
25,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,2,453.0
26,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,5,453.0
27,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,7,453.0
28,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,8,453.0
29,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1,453.0
30,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,4,453.0
31,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,5,453.0
32,Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,3,478.0
33,Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,7,478.0
34,Ba3Y0.9Lu0.1Al2O7.5Ce0.03,Ba3Y0.9Lu0.1Al2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,10,478.0
35,Ba3Y0.8Lu0.2Al2O7.5Ce0.03,Ba3Y0.8Lu0.2Al2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,9,481.0
36,Ba3Y0.7Lu0.3Al2O7.5Ce0.03,Ba3Y0.7Lu0.3Al2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,8,485.0
37,Ba3Y0.6Lu0.4Al2O7.5Ce0.03,Ba3Y0.6Lu0.4Al2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,4,489.0
38,Ba3Y0.5Lu0.5Al2O7.5Ce0.03,Ba3Y0.5Lu0.5Al2O7.5,Ce,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,8,493.0
39,Ca11Si4O22B2Eu0.005,Ca11Si4O22B2,Eu,https://doi.org/10.1039/C3TC30933A,,,4,502.0
