Inorganic phosphor,Host,1st dopant,1st dopant valency,1st doping concentration,Temp. (K),Emission max. (nm),Excitation source ,Reference,MP-ID,ICSD-ID,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,electronegativity_diff_ratio,radius_mismatch,electron_density,mass_to_charge,ionic_radius_emission_center,EN_ligand_avg,ionic_radius_substituted,avg_ionic_radius_host,avg_EN_host,avg_atomic_number_host,avg_group_host,avg_s_electrons,avg_p_electrons,avg_d_electrons,avg_f_electrons
Ba2Bi0.95V3O11Eu0.05,Ba2Bi0.95V3O11,Eu,3,0.05,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.648967552,0.056047198,0.592920354,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.189129794,2.739174041,20.52212389,12.34513274,6.100294985,9.064896755,4.572271386,0.784660767
Ba2Bi0.8V3O11Eu0.2,Ba2Bi0.8V3O11,Eu,3,0.2,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.654761905,0.047619048,0.607142857,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.190505952,2.745595238,19.96428571,12.32142857,6.047619048,8.904761905,4.345238095,0.666666667
Ba2Bi0.6V3O11Eu0.4,Ba2Bi0.6V3O11,Eu,3,0.4,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.662650602,0.036144578,0.626506024,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.192379518,2.754337349,19.20481928,12.28915663,5.975903614,8.686746988,4.036144578,0.506024096
Ba2Bi0.4V3O11Eu0.6,Ba2Bi0.4V3O11,Eu,3,0.6,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.670731707,0.024390244,0.646341463,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.19429878,2.763292683,18.42682927,12.25609756,5.902439024,8.463414634,3.719512195,0.341463415
Ba2Bi0.2V3O11Eu0.8,Ba2Bi0.2V3O11,Eu,3,0.8,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.679012346,0.012345679,0.666666667,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.196265432,2.772469136,17.62962963,12.22222222,5.827160494,8.234567901,3.395061728,0.172839506
Ba2V3O11Eu1,Ba2V3O11,Eu,3,1,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.6875,0.125,0.5625,87,56,8,48,204.2679,137.327,15.9994,121.3276,4.1,2.15,0.6,1.55,5.96,3.44,0.89,2.55,9,4,2,2,25.5759066,13.618055,5.2116646,8.4063904,0.427852348,0.37804878,2.195121946,2.347906896,1.087,3.44,0.7775,1.19828125,2.781875,16.8125,12.1875,5.75,8,3.0625,0
CaLa0.98B7O13Eu0.02,CaLa0.98B7O13,Eu,3,0.02,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.59144677,0.044585987,0.546860783,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.979916288,2.778798908,9.775250227,13.82802548,4.53867152,4.300272975,0.936305732,0
CaLa0.92B7O13Eu0.08,CaLa0.92B7O13,Eu,3,0.08,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.593065693,0.041970803,0.551094891,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.979390511,2.783394161,9.645985401,13.85766423,4.518248175,4.246350365,0.881386861,0
CaLa0.85B7O13Eu0.15,CaLa0.85B7O13,Eu,3,0.15,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.594965675,0.038901602,0.556064073,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.978773455,2.788787185,9.494279176,13.89244851,4.494279176,4.183066362,0.816933638,0
CaLa0.65B7O13Eu0.35,CaLa0.65B7O13,Eu,3,0.35,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.600461894,0.030023095,0.570438799,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.976988453,2.804387991,9.055427252,13.99307159,4.424942263,4,0.630484988,0
